"filename", "language", "C++", "HTML", "comment", "blank", "total"
"s:\Dropbox\04. ITU - BDDIT\Physical Comp\Exam Project\Tamaplantchi\Button.cpp", "C++", 26, 0, 1, 0, 27
"s:\Dropbox\04. ITU - BDDIT\Physical Comp\Exam Project\Tamaplantchi\Button.h", "C++", 17, 0, 0, 2, 19
"s:\Dropbox\04. ITU - BDDIT\Physical Comp\Exam Project\Tamaplantchi\DistanceSensor.cpp", "C++", 0, 0, 0, 1, 1
"s:\Dropbox\04. ITU - BDDIT\Physical Comp\Exam Project\Tamaplantchi\DistanceSensor.h", "C++", 0, 0, 0, 1, 1
"s:\Dropbox\04. ITU - BDDIT\Physical Comp\Exam Project\Tamaplantchi\Face.cpp", "C++", 60, 0, 5, 5, 70
"s:\Dropbox\04. ITU - BDDIT\Physical Comp\Exam Project\Tamaplantchi\Face.h", "C++", 26, 0, 0, 6, 32
"s:\Dropbox\04. ITU - BDDIT\Physical Comp\Exam Project\Tamaplantchi\LCD.cpp", "C++", 161, 0, 8, 21, 190
"s:\Dropbox\04. ITU - BDDIT\Physical Comp\Exam Project\Tamaplantchi\LCD.h", "C++", 36, 0, 0, 6, 42
"s:\Dropbox\04. ITU - BDDIT\Physical Comp\Exam Project\Tamaplantchi\Markdown for Report\Tamaplantchi.html", "HTML", 0, 594, 0, 86, 680
"s:\Dropbox\04. ITU - BDDIT\Physical Comp\Exam Project\Tamaplantchi\MoistureSensor.cpp", "C++", 36, 0, 0, 4, 40
"s:\Dropbox\04. ITU - BDDIT\Physical Comp\Exam Project\Tamaplantchi\MoistureSensor.h", "C++", 15, 0, 0, 3, 18
"s:\Dropbox\04. ITU - BDDIT\Physical Comp\Exam Project\Tamaplantchi\Plant.cpp", "C++", 86, 0, 6, 15, 107
"s:\Dropbox\04. ITU - BDDIT\Physical Comp\Exam Project\Tamaplantchi\Plant.h", "C++", 48, 0, 0, 4, 52
"s:\Dropbox\04. ITU - BDDIT\Physical Comp\Exam Project\Tamaplantchi\SDCard.cpp", "C++", 35, 0, 0, 5, 40
"s:\Dropbox\04. ITU - BDDIT\Physical Comp\Exam Project\Tamaplantchi\SDCard.h", "C++", 14, 0, 0, 4, 18
"s:\Dropbox\04. ITU - BDDIT\Physical Comp\Exam Project\Tamaplantchi\Tamaplantchi.ino", "C++", 70, 0, 12, 10, 92
"Total", "-", 630, 594, 32, 173, 1429
